capture_0_oq,capture_1_oq,capture_2_oq,capture_3_oq,capture_0_result,capture_1_result,capture_2_result,capture_3_result
-2.21369639,-2.59204917,-2.76964027,-3.13775949,0,0,0,0
-2.98676528,-1.88502185,-2.40505151,-2.66701896,0,0,0,0
-2.45304108,-3.38313058,-2.12202705,-2.74083056,0,0,0,0
-1.27068674,-2.31414754,-2.60637701,-2.85493508,0,0,0,0
1.61625259,-3.2617297,-2.19619218,-2.10033786,1,0,0,0
0.48743216,-1.36756822,-2.0736143,-2.35811844,1,0,0,0
-2.16102097,-2.32650992,-3.05418093,-1.57058891,0,0,0,0
-2.70350892,-1.29016517,-3.52494232,-1.85867958,0,0,0,0
-3.7122488,-2.16384158,-2.43428834,-2.67783608,0,0,0,0
-2.24044379,-1.70924682,-2.62644235,-2.572239,0,0,0,0
-2.80016717,-1.83923282,-2.79052947,-2.65226979,0,0,0,0
1.69280749,2.95521524,-1.84055511,-3.43329422,1,1,0,0
1.06972316,-2.30902024,-1.07636852,-3.12463026,1,0,0,0
-1.54784927,-2.20584851,-2.776476,-2.43375953,0,0,0,0
-3.10977977,-3.33013125,-3.56376655,-1.56380143,0,0,0,0
2.44669113,-2.37863641,-2.37267148,-1.92201082,1,0,0,0
1.99578479,-1.23848664,-2.83106249,-2.40173507,1,0,0,0
-3.23016271,-3.24999206,-3.77007015,-2.12297104,0,0,0,0
1.43005503,-2.39330772,-1.91869158,-2.13078689,1,0,0,0
1.89306624,-2.99935322,-1.54727688,-3.52943353,1,0,0,0
2.04064827,-1.87764708,-2.7017504,-4.08862531,1,0,0,0
-2.88163349,-2.79267989,-2.67038457,-2.16024481,0,0,0,0
-1.81499869,-3.39661464,-2.68453825,-2.79145148,0,0,0,0
-2.89429948,-2.99859606,-2.65535358,-2.12638397,0,0,0,0
2.43725441,-2.22110786,-2.81645227,-1.81025881,1,0,0,0
3.0234674,-3.84625532,-1.90677457,-2.87577976,1,0,0,0
-2.33611427,-2.58848425,-1.94296483,-3.37926559,0,0,0,0
2.14764215,-2.65948419,-3.02570276,-2.69929711,1,0,0,0
1.4106066,-2.72987559,-2.16410775,-3.83419804,1,0,0,0
-2.357083,-2.88460143,-3.47590037,-2.14138068,0,0,0,0
-3.57752107,-1.57682579,-3.45221646,-0.95878867,0,0,0,0
2.40207464,-2.63351928,-3.30289789,-1.45332748,1,0,0,0
-0.522641,-3.93803157,-3.20231915,-1.8748505,0,0,0,0
-1.91268846,-1.94952413,-4.26715091,-2.32429523,0,0,0,0
2.43658833,-1.96924992,-1.87639371,-3.51414606,1,0,0,0
0.44056866,-2.49855202,-3.5331808,-3.2066036,1,0,0,0
2.06561927,-1.2514038,-2.59826183,-1.75431147,1,0,0,0
1.31403552,-2.21219938,-1.11837974,-2.41547655,1,0,0,0
-2.83016879,-1.99509766,-2.91167405,-3.06569338,0,0,0,0
-3.22985351,-3.43128927,-2.11840887,-3.76417227,0,0,0,0
1.01558445,-3.26462388,-1.8745577,-0.38469154,1,0,0,1
-2.30029244,-2.65732631,-2.81753242,-2.62183491,0,0,0,0
-1.29432045,-1.82488225,-2.54413672,-2.85464097,0,0,0,0
-1.6675394,-1.20818857,-1.91002134,-2.71793883,0,0,0,0
-3.15919742,-3.17221023,-2.51355153,-3.53827998,0,0,0,0
-2.87483893,-2.26839688,-1.68514047,-1.53090023,0,0,0,0
-3.04823127,-2.33959146,-3.95470262,-2.35580131,0,0,0,0
2.38735378,-3.85740064,-0.93095237,-3.49767879,1,0,0,0
0.62769381,-2.23128051,-1.27670318,-3.72828394,1,0,0,0
2.03375183,1.20339273,-3.35905962,-3.048742,1,1,0,0
2.70378049,-1.95780657,-2.90270429,-3.29185463,1,0,0,0
-1.42152971,-2.4073666,-1.88050866,-3.44236419,0,0,0,0
1.65618584,-2.45038848,-2.61779837,-1.91089828,1,0,0,0
-4.11010683,-2.74681635,-1.65446848,-3.60666998,0,0,0,0
2.48602051,-3.45911607,-3.90685834,-1.81313455,1,0,0,0
-3.1390328,-3.0259151,-1.7149454,-2.62536332,0,0,0,0
3.26173976,-2.87241582,-2.23669037,-2.62917634,1,0,0,0
-3.00376415,-3.11765932,-2.85925604,-1.65731478,0,0,0,0
2.42645349,-2.58818176,-2.89370473,-1.78764109,1,0,0,0
-2.61748955,-3.64682898,-3.70280929,-3.06529906,0,0,0,0
-4.27130349,-2.12446935,-3.4448579,-2.09783651,0,0,0,0
-3.70130651,-3.0340001,-2.42591575,-4.06370237,0,0,0,0
2.21573375,-2.73922756,-3.13868932,-2.34348662,1,0,0,0
-3.68015505,-3.2597132,-1.67502053,-1.81916654,0,0,0,0
-2.89037284,-2.71186251,-3.68725285,-1.44022303,0,0,0,0
2.57806648,-3.60583924,-3.16891335,-2.57354565,1,0,0,0
-1.41658708,-3.20643336,-1.81307737,-2.65938137,0,0,0,0
2.08533257,-3.11601926,-1.07567841,-2.29949951,1,0,0,0
-1.54468445,-3.3033628,-3.23507451,-2.47483011,0,0,0,0
-1.96571443,-2.91638616,-3.3179272,-2.76743267,0,0,0,0
-3.0502636,-1.56914461,-2.15823837,-1.77426878,0,0,0,0
-3.37168649,-3.2197807,-2.1851588,-3.61077972,0,0,0,0
1.9508535,-2.35331655,-2.5482472,-2.71181185,1,0,0,0
-2.32781265,-3.86564396,-2.626477,-5.24865687,0,0,0,0
-3.37775312,-4.96784933,-2.27239989,-2.81814858,0,0,0,0
-2.14695763,-2.54883841,-3.04179005,-1.91802047,0,0,0,0
-2.5508076,-4.04328294,-2.62711179,-3.45371738,0,0,0,0
-3.20122279,-1.52910296,-2.37063486,-2.35952046,0,0,0,0
1.64214838,-2.43524667,-1.38030881,-1.79432593,1,0,0,0
1.65547356,-3.18968706,-1.31344888,-1.85698662,1,0,0,0
3.33061926,-3.86639796,-3.69572341,-1.53023526,1,0,0,0
1.84632801,-2.1619549,-2.83625722,-2.14297418,1,0,0,0
-3.31624821,-0.94137657,-1.22543518,-1.63655672,0,0,0,0
2.47972924,-2.29012258,-2.35246196,-1.44429365,1,0,0,0
2.77303327,-3.18936482,-2.36168001,-1.76947843,1,0,0,0
1.58774965,-3.13059241,-2.5235204,-2.76331548,1,0,0,0
2.20030639,-1.99057553,-3.39492895,-2.97834743,1,0,0,0
2.4895113,-2.32434198,-3.18018906,-2.7307298,1,0,0,0
2.7627565,-3.20097283,-1.92410909,-1.76214967,1,0,0,0
2.49884222,-1.81867555,-1.14831449,-2.36406438,1,0,0,0
2.3700418,2.51335427,-2.72752848,-2.9572906,1,1,0,0
-2.42048763,-1.50434468,-3.27240303,-2.72529833,0,0,0,0
1.97677091,-2.26851404,-3.07806302,-3.38732675,1,0,0,0
-2.84479111,-3.16736735,-1.9968044,-3.59818526,0,0,0,0
1.48840388,-2.34158617,-3.53884622,-1.27012683,1,0,0,0
-3.86251919,-2.61224769,-1.79004334,-3.34405005,0,0,0,0
1.6683042,-0.79199877,-2.48272177,-3.68391052,1,0,0,0
1.14876432,-2.41614338,-3.34680043,-2.07855217,1,0,0,0
-2.27130782,-2.83873994,-1.71381515,-1.15339551,0,0,0,0
3.1858515,-3.70072387,-1.912372,-2.33276524,1,0,0,0
2.59611476,-2.89360806,-1.61149912,-2.47519687,1,0,0,0
-2.34525874,-3.69288661,-2.81190854,-2.70462483,0,0,0,0
2.71749794,-2.87526194,-2.35055611,-4.04199325,1,0,0,0
-2.45151427,-4.08702157,-2.41701622,-2.16154493,0,0,0,0
-2.05873568,-1.29344966,-1.99774932,-1.38543602,0,0,0,0
-3.30463313,-3.89279686,-1.08564664,-3.04955207,0,0,0,0
1.86667908,-2.98351981,-2.8839428,-2.91614048,1,0,0,0
2.65064854,2.35933885,-3.22408639,-1.99360251,1,1,0,0
2.22599637,-2.47771759,-2.02300046,-4.23450209,1,0,0,0
-3.53269167,-3.11906263,-3.47264931,-2.05722265,0,0,0,0
2.4773458,-2.29206122,-1.98258702,-4.20584753,1,0,0,0
-3.14559788,-2.5710769,-3.12066618,-4.43823449,0,0,0,0
-2.00181026,-2.53841821,-2.10135132,-2.34328751,0,0,0,0
-1.7069418,-0.58016097,-3.01774591,-2.45784987,0,0,0,0
3.33663337,-2.72647552,-1.75474528,-1.87258571,1,0,0,0
-2.337295,-3.43445651,-1.19158719,-2.79427171,0,0,0,0
-3.36865187,-2.45155953,-1.76596064,-3.04567311,0,0,0,0
2.06444487,-1.84152462,-5.3045813,-1.72756705,1,0,0,0
1.61609855,-2.01835912,-0.4572235,-1.63494088,1,0,0,0
-3.14378813,-3.34791429,-3.25158574,-3.10329441,0,0,0,0
2.15015393,-2.4269551,-1.76581405,-1.57285649,1,0,0,0
-2.61861626,-1.07018435,-3.04550678,-2.90691089,0,0,0,0
-3.19669209,-2.23481711,-2.43312791,-3.01789586,0,0,0,0
-3.43448035,-2.06887033,-1.87065881,-1.37188118,0,0,0,0
-2.82805897,-2.20729578,-2.43982542,-3.10329925,0,0,0,0
0.89335022,1.4511738,-3.78419794,-3.13595384,1,1,0,0
2.09705532,-3.45953219,-2.40614265,-2.52028015,1,0,0,0
3.18725817,-3.18841152,-3.24457958,-3.37773971,1,0,0,0
2.63555646,-2.21812297,-1.29635381,-2.86231097,1,0,0,0
-4.29282822,-3.63758318,-3.04682478,-2.85906736,0,0,0,0
-3.19651552,-1.89717803,-2.58902833,-2.36351285,0,0,0,0
2.15701275,1.15075214,-3.958885,-2.26167608,1,1,0,0
